length_name,selected_model,owner
2,nkthakur/my_awesome_opus_books_model,nkthakur
2,Ruoyao/graph_th25_351_llama2_7b,Ruoyao
2,ashishkgpian/sharded_astromistral,ashishkgpian
2,CLindler/PublicResponseClassifier,CLindler
2,furrutiav/math_bert_qa_extractor_cockatiel_2022_mixtral_v2_it_1597,furrutiav
2,fia24/banglaT5_banel,fia24
2,Zeen0/lab1_random,Zeen0
2,gokuls/HBERTv1_48_L2_H768_A12_ffn_2,gokuls
2,Jarnails1559/Reasoning_model3,Jarnails1559
2,GiladH/groups_pos_neg_classification_28_2,GiladH
2,DrAEZF6quN2YktvBc7jHxX/FcnXT3SQ,DrAEZF6quN2YktvBc7jHxX
2,ThuyNT03/KLTN_COQE_viT5_total_PASOL_v5,ThuyNT03
2,lakxs/lock,lakxs
2,FINNUMBER/FINCH_TRAIN_SA_800_per400_NEW_Rationale_E4,FINNUMBER
2,ewqr2130/llama_sft_longer,ewqr2130
2,keRRR/merged,keRRR
2,pEpOo/catastrophy5,pEpOo
2,nytkng/t5_small_summarization,nytkng
2,CatBarks/GPT2_original_ES_model2,CatBarks
2,Drewskidang/DPO_DANG_AWQ,Drewskidang
2,vickt/LLM_Teached_BART_CNNDM,vickt
2,upadhyay/texttosql22,upadhyay
2,maniack/my_awesome_wnut_model,maniack
2,shakedr/distil_bert_proisrael_author_text_no_preprocess_tmp,shakedr
2,tomhodemon/fever_query_encoder_bsz16_8000_gradacc8,tomhodemon
2,ingeol/facets_real_5,ingeol
2,Gatido/BERT_50k_1,Gatido
2,SparshSyde/merged_mistral_PI_iter_1,SparshSyde
2,FounderOfHuggingface/gpt2_full_e2e_nlg_t3000_e5_member_shadow18,FounderOfHuggingface
2,hongjing0312/my_awesome_opus_books_model,hongjing0312
2,croissantllm/base_115k,croissantllm
2,Kquant03/WeirdMerge,Kquant03
2,jeiku/Long_Luna_3.43B,jeiku
2,ankitgu3/boolq_qg_example,ankitgu3
2,TheArchitectX/Mistral1,TheArchitectX
2,zzttbrdd/sn6_04g,zzttbrdd
2,versae/gzipbert_imdb_rpe_250k_v4,versae
2,hdv2709/sentiment_analysis_with_DistilBERT,hdv2709
2,Udoy/HODravidianLangTech,Udoy
2,nide01/pokemon_captions,nide01
2,olivercai/95chatgpt2dls,olivercai
2,Akash24/facility_maint_albert_model_grouped,Akash24
2,ChunLok/CAM_sentiment_model,ChunLok
2,sangbeomkim7/hate_detection1,sangbeomkim7
2,remva/base2,remva
2,social2468media/criccomm_to_cricnewss,social2468media
2,alyazharr/mdeberta_base_v3_4,alyazharr
2,Indah1/my_awesome_opus_books_model,Indah1
2,DongfuTingle/mfuyu,DongfuTingle
2,Kudod/my_fine_tuning_summary_t5_large_model_hf,Kudod
2,Owhslp/nous_researcher_tuning_2_34,Owhslp
2,bjornbundgaard/LLAMA2bundgaard,bjornbundgaard
2,mikeee/MistralSharded2,mikeee
2,Sumail/Bubble_bee01_2b,Sumail
2,pw907/calculator_model_test,pw907
2,Freeaes/good,Freeaes
2,Corianas/Quokka_256m,Corianas
2,Doniaa/tryMModel,Doniaa
2,AnReu/math_albert,AnReu
2,Shruti9756/G24_Contract_Summarization_step1,Shruti9756
2,LucasMagnana/Pictalk_large,LucasMagnana
2,lunalade/gpt2.shak,lunalade
2,farid1088/GQA_BERT_German_legal_SQuAD_part_augmented_2000,farid1088
2,player1537/Dolphinette,player1537
2,Cippppy/mobilebert_run0,Cippppy
2,madisongrace99/generation1,madisongrace99
2,SOUMYADEEPSAR/RoBERTa_subj2,SOUMYADEEPSAR
2,Stonekraken/homework_1,Stonekraken
2,cmtn/email_extractor_more_data_model_t5_small,cmtn
2,ankhamun/x0o_x0o,ankhamun
2,BaronSch/SOTA_4,BaronSch
2,LinWeizheDragon/FLMR,LinWeizheDragon
2,Yuss68/HAR_model,Yuss68
2,yunhuan929/falcon_180b,yunhuan929
2,divyesh1099/daily_logs_summariser_model,divyesh1099
2,kschu/tmp,kschu
2,Gaurav17Joshi/First_HF_model,Gaurav17Joshi
2,codegood/Physio_Zephyr,codegood
2,notzero/dolphin_mistral_sharded,notzero
2,joddiy/my_awesome_wnut_model,joddiy
3,mlabonne/ArchBeagle-7B,mlabonne
3,ChrisHayduk/OpenGuanaco-13B,ChrisHayduk
3,stabilityai/StableBeluga1-Delta,stabilityai
3,chargoddard/MelangeA-70b,chargoddard
3,yonatano/contam-1.4b,yonatano
3,tomaszki/gemma-13,tomaszki
3,Cheuk-Ki/temp1,Cheuk-Ki
3,jetx/gemma-5,jetx
3,Danny-Moldovan/my_awesome_model,Danny-Moldovan
3,bigscience/bloom-1b1,bigscience
3,mixtralyanis/flant5-opensource,mixtralyanis
3,BhairavAmazon/gpt2-wikitext2,BhairavAmazon
3,cognitivecomputations/MegaDolphin-120b,cognitivecomputations
3,AbstractPerspective/phi-2_MoE_orange_RAG_new,AbstractPerspective
3,cognitivetech/JudgeLM-7B,cognitivetech
3,GerbilLab/IPythia-410m,GerbilLab
3,levimorin/taonet-vali,levimorin
3,Hedzd/lr5e-05batchsize8output,Hedzd
3,Sukjin/l2c_w3_qdpo_7e-7_LATEST,Sukjin
3,Lucia-no/net9_key5,Lucia-no
3,dvilasuero/DistilabelBeagle14-7B,dvilasuero
3,Tippawan/model1-rounnd4,Tippawan
3,beomi/kollama-7b,beomi
3,Jun1112/Qwen1.8-feiyan,Jun1112
3,esolteric/m2m100_418M-fr,esolteric
3,IBM-DTT/codegeneration_codelama_v1_140,IBM-DTT
3,Deci/DeciLM-7B,Deci
3,jsfs11/WONMSeverusDevilv3-LORAMERGED,jsfs11
3,willwhim/lacuna-filler,willwhim
3,melodyzen168/roberta-ft,melodyzen168
3,grace-pro/snli_w_premise_100k,grace-pro
3,luqmanxyz/LelaStarling-7B,luqmanxyz
3,sddavicillo/mbart-simplify,sddavicillo
3,jgibb/t-5_small_test_1,jgibb
3,hrshtsharma2012/NL2SQL-T5,hrshtsharma2012
3,stevhliu/my_awesome_eli5_clm-model,stevhliu
3,madroid/Qwen1.5-0.5B,madroid
3,sinonimayzer/UzRoBERTa-v1,sinonimayzer
3,kt220/review_classification_bert_jp_v3-epoch2,kt220
3,uttam333/layoutlmv2-custom,uttam333
3,Mihaiii/Pallas-0.3,Mihaiii
3,XavierXin/ChineseLLM-AWQ,XavierXin
3,barca-boy/primate_autotrain_sample,barca-boy
3,MesozoicMetallurgist/nous-Toarcian,MesozoicMetallurgist
3,Ayesha18/chef-ai,Ayesha18
3,HuggingFaceM4/idefics-9b,HuggingFaceM4
3,potoftea/SeranaLlama-7b,potoftea
3,KnutJaegersberg/Deita-1_8B,KnutJaegersberg
3,joearul/codeparrot-ds,joearul
3,fancy123/trial-model,fancy123
3,shredder-31/Summarization_Model_led_base_book_summary,shredder-31
3,nbeerbower/bruphin-theta,nbeerbower
3,ZainAli60/my-project,ZainAli60
4,Holmeister/mistral-chatgpt-en,Holmeister
4,Divyanshu04/clip-roberta-finetuned,Divyanshu04
4,pszemraj/grammar-synthesis-base,pszemraj
4,TheBloke/CodeLlama-7B-fp16,TheBloke
4,duhmiko/autotrain-headset-sku2,duhmiko
4,danwils/SEALLM-webtoba-v1.0,danwils
4,harir/mistral-7b-4,harir
4,Himanshumaxwell/DialoGPT-small-harrypotter,Himanshumaxwell
4,tom192180/distilbert-base-uncased_odm_zphr_0st19sd_ut72ut1_PLPrefix0stlarge19_simsp,tom192180
4,atmansingh/med-llama2-lite,atmansingh
4,FinleyTheTegu/NeuralPipe-7B-slerp,FinleyTheTegu
4,winglian/omega-3b-8k,winglian
4,ahnyeonchan/OpenOrca-AYT-13B,ahnyeonchan
4,jcr987/camembert-finetuned-ner,jcr987
4,areegtarek/DeciLM-Radiology-Simplify,areegtarek
4,touhidulislam/twhin-bert-base_retrain2020_42,touhidulislam
4,stefanosio/esm2_t12_35M_UR50D-finetuned-localization,stefanosio
4,fort-capital/phi-2,fort-capital
4,heka-ai/e5-10k,heka-ai
4,vilm/Quyen-SE-v0.1,vilm
4,fireballoon/baichuan-vicuna-7b,fireballoon
4,core-outline/opt-125m,core-outline
4,luohy/ESP-bert-large,luohy
4,SuYee189/health-Will-fq,SuYee189
4,kevinpro/Chinese-AlpacaPro-13B,kevinpro
4,khanhnto/kyt-sheep-20b,khanhnto
4,tomaszki/gemma-36-copy,tomaszki
4,Abzu/mpt-7b-q8,Abzu
4,skshreyas714/autocomplete-rogers-zephyr,skshreyas714
4,roleplay4fun/christmas-7b-v0.3,roleplay4fun
4,crumb/opentinystories-68m-complex,crumb
4,vincentamato/RickSanchez-7b-q,vincentamato
4,allenai/tulu-2-70b,allenai
4,marblyso/DialoGPT-medium-shepherd,marblyso
4,jtlicardo/bpmn-information-extraction,jtlicardo
4,BAAI/bge-reranker-base,BAAI
4,hipnologo/gpt2-churn-finetune,hipnologo
4,InfinityLai/opt-350m-guanaco,InfinityLai
4,devagonal/mt5-semantic-2,devagonal
4,openbmb/cpm-bee-2b,openbmb
4,krittapas/my-clf-microsoft,krittapas
4,apenev/distilbert-finetuned-imdb,apenev
4,fionazhang/mistral-environment-all,fionazhang
4,Minbyul/selfbiorag-instruction-7b,Minbyul
4,mtolgakbaba/flan-t5-base,mtolgakbaba
4,DinhTheBao1997/mbart-for-medical,DinhTheBao1997
4,banw/bert-finetuned-ner,banw
4,thanhnew2001/starcoder-1b-taipy12,thanhnew2001
4,KoboldAI/LLaMA2-13B-Psyfighter2,KoboldAI
4,lenbrocki/Serena13bv2_DPO_efficient-sweep-2,lenbrocki
4,pgajo/mdeberta_EW-TT-PE_U0_S1_Tingredient_P0.25_DROP1_mdeberta_E9_DEV97.0,pgajo
4,claudios/VulBERTa-MLP-ReVeal,claudios
4,enelpol/evalatin2022-pos-open,enelpol
4,ambrosfitz/neural-history-chat_v0.1,ambrosfitz
4,ricerlu/bert-finetuned-ner,ricerlu
4,hon9kon9ize/CantoneseLLM-6B-preview202402,hon9kon9ize
4,hojzas/autotrain-llama-proj8,hojzas
4,shilongdai/mistral-sum-7b,shilongdai
4,OPPOResearchInstitute/oppo-experiemental-7B,OPPOResearchInstitute
4,anonymous4chan/llama-2-13b,anonymous4chan
4,Hyun24/bert-finetuned-ner,Hyun24
4,maxzancanaro/autotrain-l_acceptance_127-95254146316,maxzancanaro
4,szeby27/ro-text-db1,szeby27
4,w32zhong/clean-spaceship-400,w32zhong
4,nguyenthanhdo/mistral-chai-v0.0,nguyenthanhdo
4,rsilveira79/TinyLlama-1.1B-soprano,rsilveira79
4,kmyoon/mzllm-solar-10.7B,kmyoon
4,dimfeld/BioLinkBERT-large-feat,dimfeld
4,vihangd/DopeyTinyLlama-1.1B-v1,vihangd
4,hongyin/mistral-0.5b-40k,hongyin
4,ContextualAI/archangel_sft-csft_pythia6-9b,ContextualAI
4,gate369/Blurdus-7b-v0.1,gate369
4,alfalmi/gpt2-poetry-esp,alfalmi
5,salbatarni/flan-t5-small-asap_t3_f3_prompt_adherence,salbatarni
5,kykim0/gemma-7b-ultrachat200k-1e,kykim0
5,allstax/AI-G-Full-v2,allstax
5,shleeeee/mistral-ko-OpenOrca-2000,shleeeee
5,TheBloke/go-bruins-v2-AWQ,TheBloke
5,thu-coai/roberta-base-cdconv,thu-coai
5,haturusinghe/0116-0842_xlm-roberta__2e-05_8_745.ckpt,haturusinghe
5,Shijia/xlm-roberta-base_eng_corr_5e-06,Shijia
5,cenkersisman/gpt2-turkish-128-token,cenkersisman
5,bardsai/jaskier-7b-dpo-v6.1,bardsai
5,unsloth/yi-34b-bnb-4bit,unsloth
5,cahya/gpt2-large-indonesian-522M,cahya
5,ZhiguangHan/mt5-small-task3-dataset3,ZhiguangHan
5,allenai/open-instruct-baize-13b,allenai
5,jruranski/flan-t5-base-samsum,jruranski
5,Milos/slovak-gpt-j-162M,Milos
5,yuntaeyang/SOLAR-10.7B-Instructlora_sftt-v1.0,yuntaeyang
5,myvision/scibert-uncased-synthetic-50k,myvision
5,Nitral-AI/Hex-Macaroniac-7b,Nitral-AI
5,spacemanidol/flan-t5-large-xsum,spacemanidol
5,hamayun7333/opt-125m-gptq-4bit,hamayun7333
5,sireesha11/bert-base-cased-wikitext2,sireesha11
5,mhenrichsen/context-aware-splitter-1b,mhenrichsen
5,ncMarkusLoeffler/Mistral-nc-02-Instruct,ncMarkusLoeffler
5,mrmoor/cti-t5-NER-NYT,mrmoor
5,mempooltx/bert-base-fallacy-detection,mempooltx
5,megastudyedu/M-SOLAR-10.7B-v1.3,megastudyedu
5,shanhy/xlm-roberta-base_lr2e-05_seed42_basic_eng_train,shanhy
5,duxans/Nous-Hermes-2_openchat-3.5_32layers,duxans
5,Biomimicry-AI/ANIMA-Nectar-v2,Biomimicry-AI
5,timlim123/zephyr-7b-sft-full,timlim123
5,dima806/disaster-tweet-distilbert-classification,dima806
5,thangvip/flan-t5-finetune-rewriter,thangvip
5,sunileman/all-MiniLM-L12-v2,sunileman
5,McCrysler/bert-finetuned-singlelabel-animal,McCrysler
5,jayeshvpatil/tinyllama-medqa-jp-v1,jayeshvpatil
5,farid1088/BERT-legal-de-cased_German_legal_SQuAD_part_augmented_100,farid1088
5,typeof/Mistral-7B-v0.1-GPTQ,typeof
5,rombodawg/LosslessMegaCoder-Falcon-40b-mini,rombodawg
5,cuadron11/suicide-distilbert-2-5,cuadron11
5,warshakhan/pix2struct-docvqa-ISynHMP-latest,warshakhan
5,sammanamgain/advanced-T5-large-model,sammanamgain
5,Kaludi/BDA594-fake-news-classification,Kaludi
5,dewanshsinghchandel/Bert-Base-Uncased-Pretrained,dewanshsinghchandel
5,scholarly360/contracts-rm-bloomz-3b,scholarly360
5,christinacdl/XLM_RoBERTa-Clickbait-Detection-Greek,christinacdl
5,Amarsanaa1525/roberta-base-ner-demo,Amarsanaa1525
5,nomadsenshi/opus-jesc-ja-en,nomadsenshi
5,jweb/japanese-soseki-gpt2-1b,jweb
5,gotchu/season-8-v2-solar,gotchu
5,Sayan01/bert-mnli-distilled-c4,Sayan01
5,homersimpson/cat-pos-it-4,homersimpson
5,kaist-ai/CoT-T5-11B,kaist-ai
5,gate369/bleagle-7b-v0.1-test,gate369
5,sad-bkt/bert-finetuned-squad,sad-bkt
5,blueRab2it/solar-beam-slerp-v0.1,blueRab2it
5,MLexperiments/pii-multilabel-20240223-034330,MLexperiments
5,LargeWorldModel/LWM-Text-Chat-256K,LargeWorldModel
5,BlahBlah314/Mistral-7b-Sum-V9,BlahBlah314
5,mesolitica/malaysian-mistral-349M-4096,mesolitica
5,soltaniali/roberta-fa-zwnj-base_v2,soltaniali
6,hllj/meta-math-mistral-vi-math,hllj
6,abdullahmeda/summary-t5-base-50-epoch,abdullahmeda
6,csanda/distilbert-base-uncased-finetuned-emotion,csanda
6,mesolitica/llama-600m-hf-32768-fpf,mesolitica
6,heegyu/Synatra-7B-v0.3-Translation-fp16,heegyu
6,srnsrn120/distilbert-base-uncased-finetuned-squad,srnsrn120
6,lintang/pile-t5-xxl-1T-codexglue,lintang
6,iashchak/ruGPT-3.5-13B-gptq-4bits,iashchak
6,David-Xu/Mistral-7B-Instruct-v0.2,David-Xu
6,TheBloke/samantha-1.2-mistral-7B-AWQ,TheBloke
6,LongSafari/hyenadna-small-32k-seqlen-hf,LongSafari
6,mr4/bert-base-jp-sentiment-analysis,mr4
6,gankon/bert-base-japanese-v3-jnli,gankon
6,cuadron11/suicide-distilbert-extended-5-5,cuadron11
6,mjwong/multilingual-e5-base-xnli-anli,mjwong
6,diegozs97/finetuned-sciie-seed-2-700k,diegozs97
6,apatidar0/t5-base-dutch-new_finetuned-mt5_nl_large_data,apatidar0
6,rhaymison/opus-en-to-pt-translator,rhaymison
6,sanghakoh/distilbert-base-uncased-finetuned-squad,sanghakoh
6,MKS3099/roberta-base-finetuned-stationary-chatgptDS,MKS3099
6,BlahBlah314/Seraph-7b-Sum-FT-V1,BlahBlah314
6,Humaid-alblooshi/bert-large-5-epoch,Humaid-alblooshi
6,tmnam20/mdeberta-v3-base-mrpc-1,tmnam20
6,kody0525/KOpen-platypus-polyglot-ko-12.8b,kody0525
6,LeakyDishes/finetuning-sentiment-model-150410-samples,LeakyDishes
6,Eric11056/esm2_t12_35M_UR50D-pretrained-evaluation-new-data,Eric11056
6,mncai/Mistral-7B-v0.1-orca_platy-2k,mncai
6,wooseok0303/distilbert-base-uncased-finetuned-emotion,wooseok0303
6,hrithikstats/distilbert-base-uncased-finetuned-emotion,hrithikstats
6,kxk254/finetuning-sentiment-model-3000-samples,kxk254
6,saileshaman/t5-small-finetuned-dialogsum-v3,saileshaman
6,Davlan/xlm-roberta-base-wikiann-ner,Davlan
6,Enno-Ai/Hodeva-qlora-awq-v1,Enno-Ai
6,solidrust/OpenHyperion-2.5-Mistral-7B-AWQ,solidrust
6,Pierre-obi/llama-8B-Instruct-DPO,Pierre-obi
6,Neko-Institute-of-Science/metharme-7b,Neko-Institute-of-Science
6,kimou605/shadow-clown-BioMistral-7B-DARE,kimou605
6,RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2,RubielLabarta
6,Edison48/esm2_t12_35M_UR50D-pretrained-evaluation-new-data,Edison48
6,Geotrend/bert-base-en-ar-cased,Geotrend
6,amazingvince/where-llambo-7b-dpo-full,amazingvince
6,gayanin/bart-with-vocab-noise-data,gayanin
6,AgoraX/Lumixion-e1-70k-fncall-qlora,AgoraX
6,dwzhu/LLaMA2-7B-PoSE-YaRN-16k,dwzhu
6,bradmin/reward-gpt-duplicate-answer-2,bradmin
6,matthewchung74/distilbert-base-uncased-finetuned-cola,matthewchung74
6,andreaschandra/gpt2-finetune-id-review-gen,andreaschandra
6,rajkiran/distilbert-base-uncased-finetuned-squad,rajkiran
6,ybelkada/test-dynamic-model-with-tags,ybelkada
6,Pijush2023/distilbert-base-uncased-finetuned-ner,Pijush2023
6,l3cube-pune/kannada-topic-all-doc,l3cube-pune
6,sivan22/halacha-siman-seif-classifier-ankiShoot,sivan22
6,kaitchup/Mistral-7B-v0.1-gptq-2bit,kaitchup
6,allenai/open-instruct-code-alpaca-7b,allenai
7,metamath/xlm-roberta-base-finetuned-panx-de,metamath
7,living-on-edge/finetuned-BLIP-deterministic-224,living-on-edge
7,heshamourad/marian-finetuned-kde4-en-to-fr,heshamourad
7,hfl/chinese-llama-2-lora-7b-64k,hfl
7,Abdul-Ib/all-MiniLM-L6-v2-2024,Abdul-Ib
7,speechlessai/speechless-codellama-airoboros-orca-platypus-13b,speechlessai
7,emersoftware/tulio-st-msmarco-es-mnrl-v2,emersoftware
7,rizkyjun/bloom-1b-finetuned-aings-chat-3,rizkyjun
7,Abdelkareem/xlm-roberta-base-finetuned-panx-en,Abdelkareem
7,BM-K/mistral-ko-7b-it-v2.0.1,BM-K
7,adalib/sqlmodel-sfepy-data-codegen-350M-mono,adalib
7,tmnam20/bert-base-multilingual-cased-vtoc-1,tmnam20
7,dfurman/phi-2-scientific-papers-base-v0.1,dfurman
7,Urashima/xlm-roberta-base-finetuned-panx-de,Urashima
7,pminha/roberta-base-squad-i8-f16-p80,pminha
7,varun-v-rao/roberta-base-snli-model1,varun-v-rao
7,aayush-i2p/llama-2-7b-chat-guanaco,aayush-i2p
7,alpcansoydas/bert-base-arabic-emotion-analysis-v2.model,alpcansoydas
7,silk-road/Haruhi-dialogue-action-extract-14B,silk-road
7,ixa-ehu/roberta-eus-cc100-base-cased,ixa-ehu
7,NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,NousResearch
7,wcdshaohua01/codegen-350M-mono-python-18k-alpaca,wcdshaohua01
7,satossy/xlm-roberta-base-finetuned-panx-de,satossy
7,axljeremy7/bert-base-uncased-finetuned-CLS-stsb,axljeremy7
7,refarde/OPEN-SOLAR-KO-10.7B-S-Core,refarde
7,beat-goes-on/AMT-PF-kmeans-finetuned,beat-goes-on
7,CeAl/amazon-review-sentiment-analysis-finetuned-mnli,CeAl
7,AICODER009/xlm-roberta-base-finetuned-panx-en,AICODER009
7,alk/roberta-large-mnli-finetuned-header-classifier,alk
8,tweettemposhift/topic-topic_temporal-twitter-roberta-base-2019-90m,tweettemposhift
8,tkcho/cp-commerce-clf-kr-sku-brand-9c83af26465dd80224c6d8c4371ca6f4,tkcho
8,abhi757/llama-2-7b-chat-paper-to-slides2,abhi757
8,alibaba-pai/pai-bloom-1b1-text2prompt-sd-v2,alibaba-pai
8,merge-crew/munin-neuralbeagle-7b-density-very-high,merge-crew
8,shlomihod/deberta-v3-base-civil-comments-wilds-5k,shlomihod
8,kislayt/lyme-tweet-classification-v1-llama-2-7b,kislayt
8,varun-v-rao/bert-base-cased-mnli-model10,varun-v-rao
8,Nicolas-BZRD/opt-350m_squad_Llama-2-7b-chat-hf_text_teacher,Nicolas-BZRD
8,zuu/phi-2-biotech-qlora-synthetic-poc-backup,zuu
8,wynn-lee/mistral-7b-qlora-alpaca-sample-0.5k,wynn-lee
8,taciturno/bert-base-multilingual-uncased-sentiment-finetuned-mnli,taciturno
8,Weni/ZeroShot-3.3.20-Mistral-7b-Multilanguage-3.2.0-merged,Weni
8,tanatapanun/fine-tuned-BioBART-20-epochs-wang-lab,tanatapanun
9,kanishka/smolm-autoreg-bpe-counterfactual-babylm-indef_articles_with_pl_nouns_removal-3e-3,kanishka
9,stvhuang/rcr-run-g6knz4zq-v2-61961-master-0_20231212T101450-ep21,stvhuang
9,KitoEver/opus-mt-en-lg-finetuned-en-to-rn,KitoEver
9,worachot-n/bart-topic-length-prompt-contrastive-synonym-replacement,worachot-n
9,nkgwh/mistralai_Mistral-7B-Instruct-v0.2-CITPRED-FULLTXT-TRUNC-3000,nkgwh
9,varun-v-rao/t5-large-lora-4.72M-snli-model1,varun-v-rao
9,hamxea/Mistral-7B-v0.1-sharded-AntModel-7B-XLLM-Demo,hamxea
10,ArmaanSeth/Llama-2-7b-chat-hf-shards-mental-health-counselling,ArmaanSeth
10,kanishka/smolm-autoreg-bpe-counterfactual-babylm-indef-anan-1e-4,kanishka
10,KETI-AIR-Downstream/long-ke-t5-base-translation-aihub-en2ko,KETI-AIR-Downstream
11,mtc/mistralai-Mistral-7B-v0.1-7b-xsum-75-5-epoch-finetuned,mtc
12,LoneStriker/OpenHermes-2.5-neural-chat-7b-v3-2-7B-3.0bpw-h6-exl2,LoneStriker
13,Parikshith/ha-en-m-0.1-incremental-finetune-0.0-og-0.1-1.1m-improve-1,Parikshith
14,Parikshith/ha-en-m-0.1-incremental-finetune-0.0-0.1-og-0.2-1.1m-improve-1,Parikshith
15,lyghter/2ch-wu-24-01-01-27260-1810-mel-512-pool-1e5-3x10-1-1,lyghter
16,simonycl/sparseIT_Llama-2-7b-hf-tulu-v2-mask-by-cluster-64-clusters-0-01-topk-random,simonycl
17,mtc/mistralai-Mistral-7B-v0.1-7b-xsum-with-all-explanation-3-epochs-full-dataset-eot-2-finetuned,mtc
19,danielkty22/gpt2-ep-3.6-b-4-lr-4e-06-dp-0.1-ss-0-st-False-fh-False-hs-300_normal,danielkty22
20,danielkty22/probe_gpt2-medium-ep-1.0-b-4-lr-1e-05-dp-0.01-ss-0-st-False-fh-False-hs-100,danielkty22
21,danielkty22/gpt2-ep-3.3-b-4-lr-4e-06-dp-0.1-ss-400-st-False-ds-0-fh-True-hs-0,danielkty22
