Owner,Model Name,dataset,metrics,evaluation_result,library_name,Dataset,Link_ava
0xideas,0xideas/rustral,non,,,transformers,Yes,No
1nferno,1nferno/Fake_news_detection,non,['accuracy'],[],transformers,No,No
a9i,a9i/scarlett-7b,non,,,transformers,No,No
aao331,aao331/Carpincho-13b,non,,,transformers,No,No
aarnphm,aarnphm/multi-length-text-classification-pipeline,non,,,transformers,No,No
abeeraljabri,abeeraljabri/t5-base-medium-title-generation,non,,[],transformers,No,No
ademax,ademax/vispell-small-v3,non,,,transformers,No,No
AdrianBZG,AdrianBZG/tinyroberta-squad-es,non,,,transformers,No,No
AdryKab47,AdryKab47/llamaft,non,,,transformers,No,No
adwinang,adwinang/finetuning-sentiment-model-3000-samples,non,,[],transformers,No,No
Aelsharaby,Aelsharaby/orca_mini_v3_13b,non,,,transformers,No,No
aerdincdal,aerdincdal/ddo-roberta-turkish-uncased,non,,,transformers,No,No
aguglaniAI,aguglaniAI/phi2_fine_tuned_istanbul_1750,non,,,transformers,No,No
akhooli,akhooli/gpt2-small-arabic-poetry,non,,,transformers,Yes,No
alanaazo,alanaazo/rubert4,non,,,transformers,No,No
AlanHou,AlanHou/xlm-roberta-base-finetuned-panx-de,non,['f1'],[],transformers,No,No
aleksahet,aleksahet/test-push,non,,,transformers,No,No
Aleksandar,Aleksandar/distilbert-srb-ner-setimes,non,"['precision', 'recall', 'f1', 'accuracy']",,transformers,No,No
alexandrabenamar,alexandrabenamar/bloomz-7b1-4Magic,non,,,transformers,No,No
alexpaul,alexpaul/bieru-model,non,,,transformers,No,No
amaye15,amaye15/autoencoder,non,,,transformers,No,No
AmedeoBonatti,AmedeoBonatti/ner_scibert_pretrained,non,"['precision', 'recall', 'f1', 'accuracy']",[],transformers,No,No
Amir01,Amir01/Roberta-finetuned-Parsi-Mianeh-Corpus,non,,[],transformers,No,No
ammarnasr,ammarnasr/custom-adaclip,non,,,transformers,No,No
andresar1205,andresar1205/SMS-spam-detection-BertForSequenceClassification,non,,,transformers,No,No
annamalai-s,annamalai-s/distilbert-sentimentanalysis,non,"['f1', 'accuracy']",[],transformers,No,No
AnshDube77,AnshDube77/distilroberta-dark-pattern,non,,[],transformers,No,No
anushreeya,anushreeya/DialoGPT-small-magma2,non,,,transformers,No,No
argmining-vaccines,argmining-vaccines/bert-base-spanish-wwm-cased-reason_augmented,non,,,transformers,No,No
argsearch,argsearch/llama-7b-rm-float32,non,,[],transformers,No,No
Arix-ALIMAGNIDOKPO,Arix-ALIMAGNIDOKPO/Mistral_Instruct_IDSR,non,,,transformers,No,No
AriyanH22,AriyanH22/frame_classification_longformer_earlystopping,non,"['accuracy', 'f1', 'precision', 'recall']",[],transformers,No,No
Arklyn,Arklyn/BERT-SA,non,,,transformers,No,No
arxyzan,arxyzan/data2vec-roberta-base,non,,,transformers,No,No
assafm,assafm/cobalt-salmon,non,,,transformers,Yes,No
Audi24,Audi24/my_awesome_model,non,['accuracy'],[],transformers,No,No
audreyleteve,audreyleteve/curious-muskox,non,,,transformers,No,No
AuraRuby,AuraRuby/ARIA,non,,,transformers,No,No
averma1010,averma1010/T5_Math_Equation,non,,,transformers,No,No
Azzedde,Azzedde/flan-t5_logtosumm-checkpoint1500,non,,,transformers,No,No
ba8im,ba8im/phi-2-bash-v0,non,,,mlx,No,No
Baktashans,Baktashans/NLP_HF_Workshop,non,,,transformers,No,No
bandhit,bandhit/typhoon-7b-q4-bnb_cuda-ts-1703352224,non,,,transformers,No,No
batmac,batmac/vicuna-1.1-7b,non,,,transformers,No,No
BeardedMonster,BeardedMonster/traffic,non,,,transformers,No,No
benschlagman,benschlagman/llama-2-7b-chat-esconv,non,,,transformers,No,No
beratcmn,beratcmn/Mistral-7B-v0.1-int8,non,,,transformers,No,No
bharathirajan89,bharathirajan89/gemma-7b-it-2GB-shards-4bit-v1,non,,,transformers,No,No
BlackB,BlackB/bt5-base-thai-en,non,,,transformers,No,No
BlackKakapo,BlackKakapo/flan-t5-small-ro,non,,,transformers,No,No
blaze999,blaze999/ner-wand-test,non,,[],transformers,No,No
BlueZeros,BlueZeros/MING-1.8B,non,,,transformers,No,No
Brackly,Brackly/malawi_quantized_model,non,,,transformers,No,No
bsgreenb,bsgreenb/my_awesome_model,non,"['accuracy', 'f1', 'precision', 'recall']",[],transformers,No,No
bvanflet,bvanflet/coverletter,non,,,transformers,No,No
caowenlei,caowenlei/finetuning-sentiment-model-3000-samples,non,,[],transformers,No,No
cartesinus,cartesinus/slurp-intent_baseline-xlm_r-en,non,"['accuracy', 'f1']",[],transformers,No,No
centino00,centino00/darija-to-english,non,['bleu'],[],transformers,No,No
Chanwho,Chanwho/bert-finetuned-squad,non,,[],transformers,No,No
chaofuyang,chaofuyang/llama-2-13b-chat-gptq-4bit-128g,non,,,transformers,No,No
chargoddard,chargoddard/internlm2-7b-llama,non,,,transformers,No,No
Charritocdt,Charritocdt/clasificador-muchocine,non,['accuracy'],[],transformers,No,No
chathuranga-jayanath,chathuranga-jayanath/codet5-small-v2,non,['rouge'],[],transformers,No,No
chihoonlee10,chihoonlee10/T3Q-Merge-SOLAR12,non,,,transformers,No,No
Chonkator,Chonkator/feedback_sentiment_analysis,non,,,transformers,No,No
christofid,christofid/pgt,non,,,transformers,No,No
cicimen,cicimen/xlm-roberta-base-finetuned-panx-de,non,['f1'],[],transformers,No,No
clicknext,clicknext/phayathaibert,non,,,transformers,No,No
CobraMamba,CobraMamba/mamba-gpt-7b,non,,,transformers,Yes,No
congdt912,congdt912/phobert-base,non,,,transformers,No,No
ConorParis32,ConorParis32/dummy,non,['matthews_correlation'],[],transformers,No,No
DAMO-NLP-MT,DAMO-NLP-MT/polylm-13b,non,,,transformers,No,No
DAMO-NLP-SG,DAMO-NLP-SG/zero-shot-classify-SSTuning-XLM-R,non,['accuracy'],,transformers,No,No
daniel-was-taken,daniel-was-taken/long-t5-tglobal-base-finetuned-scisumm,non,['rouge'],[],transformers,No,No
DanielCarnevale,DanielCarnevale/swissmedical_faqs,non,,,transformers,No,No
DaniilOr,DaniilOr/multilingual_factuality,non,,,transformers,No,No
DANISHFAYAZNAJAR,DANISHFAYAZNAJAR/my_model_en_to_ur,non,['bleu'],[],transformers,No,No
Danjie,Danjie/test,non,,,transformers,No,No
Dark-magician,Dark-magician/my_awesome_qa_model,non,,[],transformers,No,No
Datters,Datters/random-waifus-4x7b,non,,,transformers,No,No
Davada,Davada/subnet6,non,,,transformers,No,No
Davida23,Davida23/Novel_Genre_Classification_bert-finetuned,non,"['f1', 'accuracy']",[],transformers,Yes,No
dawnlight,dawnlight/bart-base-finetuned-CNN-DailyNews,non,['rouge'],[],transformers,No,No
desarrolloasesoreslocales,desarrolloasesoreslocales/jina-embeddings-v2-base-en-finetuned-legalcorpus,non,,[],transformers,No,No
devakumar-g,devakumar-g/gemma-2b-finetune-qlora-chatdoctor,non,,,transformers,No,No
DevSelego,DevSelego/Mistral7b_summarizer_v6,non,,,transformers,No,No
dh-unibe,dh-unibe/gpt2-larger-luther,non,['accuracy'],[],transformers,No,No
Dhanang,Dhanang/sentiment_model,non,"['accuracy', 'f1', 'precision', 'recall']",[],transformers,No,No
dipsivenkatesh,dipsivenkatesh/indibert_v2_sentimentanalysis_tamil,non,,,transformers,No,No
disi-unibo-nlp,disi-unibo-nlp/pmc-llama-13b-awq,non,,,transformers,No,No
distilbert,distilbert/distilbert-base-german-cased,non,,,transformers,No,No
doc2txt,doc2txt/tst_fine-tuning-lilt,non,,[],transformers,No,No
drlee1,drlee1/llama2-ko-70b-mymodel,non,,,transformers,No,No
duongttr,duongttr/vietnamese-trimmed-mbart-large,non,,,transformers,No,No
duy221,duy221/my_awesome_model,non,,[],transformers,No,No
dyc879099,dyc879099/distilbert-base-uncased-finetuned-adl_hw1,non,['accuracy'],[],transformers,No,No
ealanis,ealanis/trial-model,non,['f1'],[],transformers,No,No
eglkan1,eglkan1/mT5-lithuanian-simplifier,non,['rouge'],[],transformers,No,No
elisachen,elisachen/bloom-GPTQquantized-model,non,,,transformers,No,No
emre,emre/arxiv27k-t5-abst-title-gen,non,['rouge'],[],transformers,Yes,No
Enno-Ai,Enno-Ai/bge-m3,non,,,sentence-transformers,Yes,No
eralFlare,eralFlare/gemma-2b-it-gptq,non,,,transformers,Yes,No
erwanlc,erwanlc/t5-cocktails_recipe-small,non,,[],transformers,No,No
eson,eson/kplug-base-jddc,non,,,transformers,No,No
espirado1,espirado1/emotion-test-1000,non,,,transformers,No,No
EtienneDu91,EtienneDu91/galactica-6.7b-evol-instruct-70k-GPTQ-4b,non,,,transformers,No,No
fedora-copr,fedora-copr/t5-small-finetuned-logjuicer,non,['rouge'],[],transformers,No,No
Felladrin,Felladrin/onnx-GPT2-Medium-Alpaca-355m,non,,,transformers.js,No,No
Fihade,Fihade/Mistral-7B-Instruct-v0.2-q,non,,,mlx,No,No
fireworks-ai,fireworks-ai/Yi-6B-Llama,non,,,transformers,No,No
flemmingmiguel,flemmingmiguel/MDBX-7B,non,,,transformers,No,No
fokyoum9,fokyoum9/Solar_KO_ORCA_Test10,non,,,transformers,No,No
frank1243,frank1243/mistralai-Instruct-JP-Finetune-fluency,non,,,transformers,Yes,No
frenkd,frenkd/distilbert-base-uncased-finetuned-squad,non,,[],transformers,No,No
fterry,fterry/FofoNet-CatDolphin-PPT-slerp,non,,,transformers,No,No
FungSung,FungSung/distilBert_sentiment_test_23DEC,non,"['accuracy', 'f1', 'precision', 'recall']",[],transformers,No,No
Fynd,Fynd/gptq_cyclops_chat_model,non,,,transformers,No,No
GabSo,GabSo/santacoder-finetuned-robot3,non,,[],transformers,No,No
GalaganKV,GalaganKV/Mistral-7B-Instruct-v0.2-Summary,non,,,transformers,No,No
GamerGod2k,GamerGod2k/DialoGPT-medium-johnnyboy123,non,,,transformers,No,No
GandegaH,GandegaH/bert-base-cased-wikitext2,non,,[],transformers,No,No
gapendl,gapendl/geronimo-base,non,,,sentence-transformers,No,No
GerbilLab,GerbilLab/IPythia-410m,non,,,transformers,No,No
giux78,giux78/gemma-2b-sft-ita,non,,,transformers,No,No
glacio-dev,glacio-dev/Qwen1.5-7B-Chat-Q4,non,,,mlx,No,No
godxin,godxin/chinese_alpaca_plus_lora_7b,non,,,transformers,No,No
Gow9,Gow9/trial-model,non,['f1'],[],transformers,No,No
gr8testgad-1,gr8testgad-1/movie_sentiment,non,['accuracy'],[],transformers,No,No
gregor160300,gregor160300/llama2-fine-tuned-sql-create-context-1000-steps,non,,,transformers,No,No
grimpep,grimpep/Huginnstruct-22B,non,,,transformers,No,No
GTsky,GTsky/t5-small-finetuned-newssum,non,['rouge'],[],transformers,No,No
HackerCIS,HackerCIS/gemma-2b_PROMPT_TUNING_CAUSAL_SPAM_epoch3,non,,,transformers,No,No
hadeer108arafa,hadeer108arafa/Mistral-Face-Prompt-Regeneration,non,,,transformers,No,No
hadifar,hadifar/summarizer,non,,,transformers,Yes,No
hadifar,hadifar/summarizer,,,,transformers,,
hahahafofo,hahahafofo/Qwen-1_8B-Stable-Diffusion-Prompt_v0.5,non,,,transformers,No,No
hanspeterlyngsoeraaschoujensen,hanspeterlyngsoeraaschoujensen/deepseek-math-7b-instruct-GPTQ,non,,,transformers,No,No
haqishen,haqishen/cls-v2-test-1-3B-fold1,non,,,transformers,Yes,No
harshitha11ravani,harshitha11ravani/finetuning-emotion-model,non,"['accuracy', 'f1']",[],transformers,No,No
hcyying,hcyying/distilbert-base-uncased-finetuned-emotion,non,"['accuracy', 'f1']",[],transformers,No,No
HeavenlyJoe,HeavenlyJoe/t5-fine-tuning,non,['bleu'],[],transformers,No,No
HektorOrion,HektorOrion/clasificador-muchocine,non,['accuracy'],[],transformers,No,No
HeshamHaroon,HeshamHaroon/falcon-rw-1b-4bit,non,,,transformers,No,No
hhsungurbykr,hhsungurbykr/Llama2-Stackoverflow,non,,,transformers,No,No
Himanshumaxwell,Himanshumaxwell/DialoGPT-small-harrypotter,non,,,transformers,No,No
HMehrab,HMehrab/bangla_idiom_paraphrase_v1,non,['rouge'],[],transformers,No,No
hotchpotch,hotchpotch/mMiniLMv2-L6-H384,non,,,transformers,No,No
HPLT,HPLT/gpt-7b-nordic-prerelease,non,,,transformers,No,No
hustcw,hustcw/clap-text,non,,,transformers,Yes,No
hyunjerry,hyunjerry/distilbert-base-uncased-finetuned-squad,non,,[],transformers,No,No
IdleIdiot,IdleIdiot/thtf-7b,non,,,transformers,No,No
imaether,imaether/roberta-offensive-junior,non,,,transformers,Yes,No
indonesian-nlp,indonesian-nlp/gpt2,non,,,transformers,Yes,Yes
Inforup982,Inforup982/Harsha-Hermes-2.5-Mistral-7B_safetensors,non,,,transformers,No,No
inkoziev,inkoziev/chargpt-96M,non,,,transformers,No,No
inswave,inswave/AISquare-Instruct-llama2-koen-13b-v0.9.24,non,,,transformers,No,No
ixaxaar,ixaxaar/flan-t5-base_multi-nli,non,,,transformers,Yes,No
jae24,jae24/openhermes_dpo_norobot_0201,non,,,transformers,Yes,No
jan-hq,jan-hq/TinyLlama-Bamboo-v1.0,non,,,transformers,No,No
janhq,janhq/Phoenix-v1-8x7B,non,,,transformers,No,No
jchen1234567,jchen1234567/testing_model_1,non,,,transformers,No,No
JdThe65th,JdThe65th/GPT2-Glitchfur-Zenith-JD,non,,,transformers,Yes,No
JeaHyung,JeaHyung/test_trainer,non,,[],transformers,No,No
jebcarter,jebcarter/psyonic-cetacean-20B,non,,,transformers,No,No
jgibb,jgibb/t-5_small_test_1,non,,[],transformers,No,No
JiangYH,JiangYH/Gemma-2b-it-zh,non,,,transformers,No,No
jitesh,jitesh/emotion-english,non,,,transformers,Yes,No
jjiguaran,jjiguaran/tweet_colombia_emotions,non,,,transformers,No,No
jjmcarrascosa,jjmcarrascosa/xlm-roberta-base-toxicity,non,"['f1', 'accuracy']",[],transformers,Yes,Yes
JoanParanoid,JoanParanoid/writemodel,non,,,transformers,No,No
Johmmyyyy,Johmmyyyy/bert-address-parsing,non,,,transformers,No,No
JohnDoe70,JohnDoe70/tinyroberta-squad2-finetuned-squad,non,,[],transformers,No,No
jpbywater,jpbywater/assessing-advancing-question-classifier-v1,non,['accuracy'],[],transformers,No,No
juan-glez29,juan-glez29/BERTuit-gender-all,non,,,transformers,No,No
juancotrino,juancotrino/connecta,non,"['accuracy', 'f1']",[],transformers,Yes,No
juansebas7ian,juansebas7ian/platzi-distilroberta-base-mrpc-glue-juansebas7ian,non,"['accuracy', 'f1']",[],transformers,No,No
julianfrank1151,julianfrank1151/bert-finetuned-squad,non,,[],transformers,No,No
kaiyuy,kaiyuy/leandojo-lean3-tacgen-byt5-small,non,,,transformers,No,No
kamalkraj,kamalkraj/BioELECTRA-PICO,non,,,transformers,No,No
karanamak,karanamak/job-email-classifier,non,,,sentence-transformers,No,No
Karenina-na,Karenina-na/vicuna-7b,non,,,transformers,No,No
katowtkkk,katowtkkk/testing_model,non,,,transformers,No,No
katuni4ka,katuni4ka/tiny-random-chatglm2,non,,[],transformers,No,No
KatyMergeTesting,KatyMergeTesting/MythoMaid-13B-SLERP,non,,,transformers,No,No
kazandaev,kazandaev/m2m100_418M-finetuned-en-ru,non,['bleu'],[],transformers,No,No
Kendamarron,Kendamarron/jimba-instruction-or-not-classifier-beta,non,,,transformers,No,No
kenhktsui,kenhktsui/nano-phi-115M-v0.1,non,,"[EvalResult(task_type='text-generation', dataset_type='ai2_arc', dataset_name='AI2 Reasoning Challenge (25-Shot)', metric_type='acc_norm', metric_value=21.93, task_name='Text Generation', dataset_config='ARC-Challenge', dataset_split='test', dataset_revision=None, dataset_args={'num_few_shot': 25}, metric_name='normalized accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=kenhktsui/nano-phi-115M-v0.1'), EvalResult(task_type='text-generation', dataset_type='hellaswag', dataset_name='HellaSwag (10-Shot)', metric_type='acc_norm', metric_value=27.86, task_name='Text Generation', dataset_config=None, dataset_split='validation', dataset_revision=None, dataset_args={'num_few_shot': 10}, metric_name='normalized accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=kenhktsui/nano-phi-115M-v0.1'), EvalResult(task_type='text-generation', dataset_type='cais/mmlu', dataset_name='MMLU (5-Shot)', metric_type='acc', metric_value=25.34, task_name='Text Generation', dataset_config='all', dataset_split='test', dataset_revision=None, dataset_args={'num_few_shot': 5}, metric_name='accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=kenhktsui/nano-phi-115M-v0.1'), EvalResult(task_type='text-generation', dataset_type='truthful_qa', dataset_name='TruthfulQA (0-shot)', metric_type='mc2', metric_value=46, task_name='Text Generation', dataset_config='multiple_choice', dataset_split='validation', dataset_revision=None, dataset_args={'num_few_shot': 0}, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=kenhktsui/nano-phi-115M-v0.1'), EvalResult(task_type='text-generation', dataset_type='winogrande', dataset_name='Winogrande (5-shot)', metric_type='acc', metric_value=50.83, task_name='Text Generation', dataset_config='winogrande_xl', dataset_split='validation', dataset_revision=None, dataset_args={'num_few_shot': 5}, metric_name='accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=kenhktsui/nano-phi-115M-v0.1'), EvalResult(task_type='text-generation', dataset_type='gsm8k', dataset_name='GSM8k (5-shot)', metric_type='acc', metric_value=0, task_name='Text Generation', dataset_config='main', dataset_split='test', dataset_revision=None, dataset_args={'num_few_shot': 5}, metric_name='accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=kenhktsui/nano-phi-115M-v0.1')]",transformers,Yes,No
KennethTM,KennethTM/danish-bert-review-sentiment,non,,,transformers,No,No
keylazy,keylazy/distilbert-base-uncased-ark,non,,[],transformers,No,No
khvatov,khvatov/ru_toxicity_detector,non,,,transformers,Yes,No
Kinjal123,Kinjal123/content,non,,[],transformers,No,No
klyang,klyang/MentaLLaMA-chat-7B-hf,non,['f1'],,transformers,Yes,No
krdgcc0shgt,krdgcc0shgt/opt-125m-awq,non,,,transformers,No,No
kuleshov-group,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,non,,,transformers,No,No
kye,kye/Atom-Z-Tiny-7B,non,,,nemo,Yes,No
labofsahil,labofsahil/mod,non,,,transformers,No,No
lanaab,lanaab/model_output,non,,[],transformers,No,No
Lecs,Lecs/bert-base-uncased-fine-tuned,non,['accuracy'],[],transformers,No,No
leofn3,leofn3/modelo_racismo_setfit_5jan24,non,['accuracy'],"[EvalResult(task_type='text-classification', dataset_type='unknown', dataset_name='Unknown', metric_type='accuracy', metric_value=0.8723404255319149, task_name='Text Classification', dataset_config=None, dataset_split='test', dataset_revision=None, dataset_args=None, metric_name='Accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None)]",setfit,No,No
LeslieLee1203,LeslieLee1203/HW01,non,['matthews_correlation'],[],transformers,No,No
letgoofthepizza,letgoofthepizza/Llama-2-7b-hf-finetuned-open-korean-instructions,non,,,transformers,No,No
Leul78,Leul78/13b-finetune-awq,non,,,transformers,No,No
lex-hue,lex-hue/LexGPT-V2,non,,,transformers,No,No
lex117,lex117/cproj-gpt,non,,,transformers,No,No
LI-ST,LI-ST/Mistral-7B-ko-v0.1,non,,,transformers,No,No
liamvbetts,liamvbetts/mt5-v2,non,['rouge'],[],transformers,No,No
literid,literid/contacts_detect_tiny_rubert,non,,,transformers,No,No
llkenll,llkenll/BertModel,non,,[],transformers,No,No
LLM360,LLM360/Amber,non,,,transformers,No,No
lokesh2002,lokesh2002/t5-small-finetuned-mydata,non,['rouge'],[],transformers,No,No
LoLZeS666,LoLZeS666/text2test_model,non,,,transformers,No,No
LordAbsurd2137,LordAbsurd2137/calculator_model_test,non,,[],transformers,No,No
lps08,lps08/bert-base-portuguese-cased-editals,non,,,transformers,No,No
lrei,lrei/distilroberta-base-emolit,non,,,transformers,Yes,Yes
LuisDavidFT777,LuisDavidFT777/gpt2-spanish-medium,non,,,transformers,No,No
LuizNeves,LuizNeves/DeBERTa-v3-large-mnli-fever-anli-ling-wanli-vaccine,non,,,transformers,No,No
MAbokahf,MAbokahf/roberta-fine-tune-de-ner,non,,,transformers,No,No
MAdAiLab,MAdAiLab/flan-t5-small_twitter,non,['f1'],[],transformers,No,No
magnolia-psychometrics,magnolia-psychometrics/bandura-v1,non,,,transformers,No,No
Malek1410,Malek1410/albert_project_test_trainer,non,['accuracy'],[],transformers,No,No
MalikIbrar,MalikIbrar/gpt2-wikitext2,non,,[],transformers,No,No
ManishThota,ManishThota/Thota,non,,,transformers,No,No
maonx,maonx/gtemodel1,non,,,sentence-transformers,No,No
Mary8,Mary8/koelectra-small-v2-distilled-korquad-384,non,,[],transformers,No,No
Mason-Little,Mason-Little/super-cool-model,non,,,transformers,No,No
matlok,matlok/tinyllama-cinder-openhermes-32k,non,,,transformers,No,No
matrrix,matrrix/gpt2-customer-service,non,,,transformers,No,No
Matthijs99,Matthijs99/TM_Project,non,"['precision', 'recall', 'f1']",[],transformers,No,No
Maykeye,Maykeye/TinyLLama-v0,non,,,transformers,No,No
mazenj,mazenj/mistral-instruct-medical-model,non,,,transformers,No,No
mdouglas,mdouglas/guanamyra-small,non,,,transformers,No,No
MediaTek-Research,MediaTek-Research/Breeze-7B-Base-v1_0,non,,,transformers,No,No
mediocredev,mediocredev/stablelm-3b-instruct,non,,,transformers,No,No
meetplace1,meetplace1/bertsmallclassifier,non,,,transformers,No,No
megaaziib,megaaziib/Miacaroni-7B-Indonesia,non,,,transformers,No,No
mekjr1,mekjr1/opus-mt-en-es-finetuned-es-to-maz,non,['bleu'],[],transformers,No,No
meowkhoa,meowkhoa/gpt2_viet_poem_generation,non,,[],transformers,No,No
merthacioglu,merthacioglu/bert-base-cased-finetuned-squad-b16,non,,[],transformers,No,No
mesolitica,mesolitica/conformer-2M-ctc,non,,,transformers,No,No
mHossain,mHossain/afrikans_sum_v1,non,['rouge'],[],transformers,No,No
micsell,micsell/xlm-roberta-large-he-restore-punctuation,non,,,transformers,No,No
mikegarts,mikegarts/distilgpt2-lotr,non,,[],transformers,No,No
MiVaCod,MiVaCod/rotten,non,['accuracy'],[],transformers,No,No
mjm4dl,mjm4dl/ps_intent_7b_r16,non,,,transformers,No,No
mkoypish,mkoypish/q-tags-trainer-new,non,,[],transformers,No,No
Mlxa,Mlxa/trash,non,,,transformers,No,No
mnaylor,mnaylor/mega-base-wikitext,non,,,transformers,Yes,No
MohamedAhmedAE,MohamedAhmedAE/bert-base-uncased-issues-128,non,,[],transformers,No,No
Morningheart,Morningheart/commentary-generator,non,,,transformers,No,No
moshew,moshew/bge-small-en-v1.5-SetFit-FSA,non,['accuracy'],"[EvalResult(task_type='text-classification', dataset_type='unknown', dataset_name='Unknown', metric_type='accuracy', metric_value=0.9426048565121413, task_name='Text Classification', dataset_config=None, dataset_split='test', dataset_revision=None, dataset_args=None, metric_name='Accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None)]",setfit,No,No
Mouad2023,Mouad2023/my_awesome_billsum_model,non,['rouge'],[],transformers,No,No
mpowerml,mpowerml/mistral-7b-bn,non,,,transformers,No,No
msong300,msong300/trial-model,non,['f1'],[],transformers,No,No
murodbek,murodbek/uzroberta-panx-uz,non,['f1'],[],transformers,No,No
namirocks,namirocks/mistral-class-tutor-7b-ep3,non,,,transformers,No,No
namnthust,namnthust/content,non,,[],transformers,No,No
Narsil,Narsil/finbert-slow,non,,,transformers,No,No
ndebuhr,ndebuhr/Mistral-7B-Technical-Tutorial-Summarization-QLoRA,non,,,transformers,Yes,No
nielsr,nielsr/udop-test,non,,,transformers,No,No
nikolamilosevic,nikolamilosevic/distil_bert_uncased-finetuned-relations,non,"['accuracy', 'recall', 'f1']",[],transformers,No,No
ningrumdaud,ningrumdaud/SciGap-PubMedBERT-QNLI,non,,,transformers,No,No
nirmalroy,nirmalroy/self-multi-rag,non,,,transformers,No,No
Noor0,Noor0/SentArEng_V0,non,['accuracy'],[],transformers,No,No
Novocoders,Novocoders/Mistral-NeuralDPO-v0.6,non,,[],transformers,No,No
nttrung,nttrung/git-base-pokemon,non,,[],transformers,No,No
Ocastano,Ocastano/title_category_model,non,,,sentence-transformers,No,No
ojaffe,ojaffe/llama2-7b-tom-sandbagged,non,,,transformers,No,No
OMEGAMAX10,OMEGAMAX10/flan-t5-base-artapolitica,non,['rouge'],[],transformers,No,No
OpenBioMed,OpenBioMed/Med-LLaMA-7b,non,,,transformers,No,No
OpenDFM,OpenDFM/ChemDFM-13B-v1.0,non,,,transformers,No,No
OpenMatch,OpenMatch/t5-ance,non,,,transformers,Yes,No
