Owner,Model Name,dataset,metrics,evaluation_result,library_name,Dataset,Link_ava
Overthrow4232,Overthrow4232/route_classifier_v1,non,['accuracy'],[],transformers,No,No
P0intMaN,P0intMaN/PyAutoCode,non,,,transformers,Yes,No
p208p2002,p208p2002/llama-keyword-generator-zh2zh-120M,non,,,transformers,No,No
pabsdsr,pabsdsr/bert-finetuned-squad,non,,[],transformers,No,No
papasega,papasega/finetune_bert_avalinguo_2epoch,non,,[],transformers,No,No
philschmid,philschmid/Llama-2-7b-hf,non,,,transformers,Yes,No
Pihu1998,Pihu1998/finetuning-sentiment-model-3000-samples-testcopy,non,,[],transformers,No,No
Pitchboy,Pitchboy/falcon-7b-facts,non,,,transformers,No,No
posicube,posicube/Llama2-chat-AYT-13B,non,,,transformers,Yes,No
pourmand1376,pourmand1376/NER_Farsi,non,,,transformers,No,No
prasadkanche,prasadkanche/MITI-Tax-Gemma-Instruct-Finetune-1.0,non,,,transformers,No,No
project-baize,project-baize/baize-v2-7b,non,,,transformers,No,No
pythonist,pythonist/bert-base-cased-PubmedQAmodel,non,,[],transformers,No,No
radlab,radlab/polish-denoiser-t5-base,non,,,transformers,No,No
Razafaheem,Razafaheem/finetuning-sentiment-model-3000-samples,non,['accuracy'],[],transformers,No,No
rebe121314,rebe121314/SMILES_RoBERTa,non,,[],transformers,No,No
recipe,recipe/embeddings,non,,"[EvalResult(task_type='Classification', dataset_type='mteb/amazon_counterfactual', dataset_name='MTEB AmazonCounterfactualClassification (en)', metric_type='accuracy', metric_value=76.94029850746269, task_name=None, dataset_config='en', dataset_split='test', dataset_revision='e8379541af4e31359cca9fbcf4b00f2671dba205', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Classification', dataset_type='mteb/amazon_counterfactual', dataset_name='MTEB AmazonCounterfactualClassification (en)', metric_type='ap', metric_value=40.00228964744091, task_name=None, dataset_config='en', dataset_split='test', dataset_revision='e8379541af4e31359cca9fbcf4b00f2671dba205', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Classification', dataset_type='mteb/amazon_counterfactual', dataset_name='MTEB AmazonCounterfactualClassification (en)', metric_type='f1', metric_value=70.86088267934595, task_name=None, dataset_config='en', dataset_split='test', dataset_revision='e8379541af4e31359cca9fbcf4b00f2671dba205', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Classification', dataset_type='mteb/amazon_polarity', dataset_name='MTEB AmazonPolarityClassification', metric_type='accuracy', metric_value=91.93745, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='e2d317d38cd51312af73b3d32a06d1a08b442046', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Classification', dataset_type='mteb/amazon_polarity', dataset_name='MTEB AmazonPolarityClassification', metric_type='ap', metric_value=88.24758534667426, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='e2d317d38cd51312af73b3d32a06d1a08b442046', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Classification', dataset_type='mteb/amazon_polarity', dataset_name='MTEB AmazonPolarityClassification', metric_type='f1', metric_value=91.91033034217591, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='e2d317d38cd51312af73b3d32a06d1a08b442046', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Classification', dataset_type='mteb/amazon_reviews_multi', dataset_name='MTEB AmazonReviewsClassification (en)', metric_type='accuracy', metric_value=46.158, task_name=None, dataset_config='en', dataset_split='test', dataset_revision='1399c76144fd37290681b995c656ef9b2e06e26d', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Classification', dataset_type='mteb/amazon_reviews_multi', dataset_name='MTEB AmazonReviewsClassification (en)', metric_type='f1', metric_value=45.78935185074774, task_name=None, dataset_config='en', dataset_split='test', dataset_revision='1399c76144fd37290681b995c656ef9b2e06e26d', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='map_at_1', metric_value=39.972, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='map_at_10', metric_value=54.874, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='map_at_100', metric_value=55.53399999999999, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='map_at_1000', metric_value=55.539, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='map_at_3', metric_value=51.031000000000006, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='map_at_5', metric_value=53.342999999999996, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='mrr_at_1', metric_value=40.541, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='mrr_at_10', metric_value=55.096000000000004, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='mrr_at_100', metric_value=55.75599999999999, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='mrr_at_1000', metric_value=55.761, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='mrr_at_3', metric_value=51.221000000000004, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='mrr_at_5', metric_value=53.568000000000005, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='ndcg_at_1', metric_value=39.972, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='ndcg_at_10', metric_value=62.456999999999994, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='ndcg_at_100', metric_value=65.262, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='ndcg_at_1000', metric_value=65.389, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='ndcg_at_3', metric_value=54.673, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='ndcg_at_5', metric_value=58.80499999999999, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='precision_at_1', metric_value=39.972, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='precision_at_10', metric_value=8.634, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='precision_at_100', metric_value=0.9860000000000001, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='precision_at_1000', metric_value=0.1, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='precision_at_3', metric_value=21.740000000000002, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='precision_at_5', metric_value=15.036, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='recall_at_1', metric_value=39.972, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='recall_at_10', metric_value=86.344, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='recall_at_100', metric_value=98.578, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='recall_at_1000', metric_value=99.57300000000001, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='recall_at_3', metric_value=65.22, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='arguana', dataset_name='MTEB ArguAna', metric_type='recall_at_5', metric_value=75.178, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Clustering', dataset_type='mteb/arxiv-clustering-p2p', dataset_name='MTEB ArxivClusteringP2P', metric_type='v_measure', metric_value=48.94652870403906, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='a122ad7f3f0291bf49cc6f4d32aa80929df69d5d', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Clustering', dataset_type='mteb/arxiv-clustering-s2s', dataset_name='MTEB ArxivClusteringS2S', metric_type='v_measure', metric_value=43.17257160340209, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='f910caf1a6075f7329cdf8c1a6135696f37dbd53', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Reranking', dataset_type='mteb/askubuntudupquestions-reranking', dataset_name='MTEB AskUbuntuDupQuestions', metric_type='map', metric_value=63.97867370559182, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='2000358ca161889fa9c082cb41daa8dcfb161a54', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Reranking', dataset_type='mteb/askubuntudupquestions-reranking', dataset_name='MTEB AskUbuntuDupQuestions', metric_type='mrr', metric_value=77.00820032537484, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='2000358ca161889fa9c082cb41daa8dcfb161a54', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='STS', dataset_type='mteb/biosses-sts', dataset_name='MTEB BIOSSES', metric_type='cos_sim_pearson', metric_value=80.00986015960616, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='d3fb88f8f02e40887cd149695127462bbcf29b4a', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='STS', dataset_type='mteb/biosses-sts', dataset_name='MTEB BIOSSES', metric_type='cos_sim_spearman', metric_value=80.36387933827882, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='d3fb88f8f02e40887cd149695127462bbcf29b4a', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='STS', dataset_type='mteb/biosses-sts', dataset_name='MTEB BIOSSES', metric_type='euclidean_pearson', metric_value=80.32305287257296, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='d3fb88f8f02e40887cd149695127462bbcf29b4a', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='STS', dataset_type='mteb/biosses-sts', dataset_name='MTEB BIOSSES', metric_type='euclidean_spearman', metric_value=82.0524720308763, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='d3fb88f8f02e40887cd149695127462bbcf29b4a', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='STS', dataset_type='mteb/biosses-sts', dataset_name='MTEB BIOSSES', metric_type='manhattan_pearson', metric_value=80.19847473906454, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='d3fb88f8f02e40887cd149695127462bbcf29b4a', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='STS', dataset_type='mteb/biosses-sts', dataset_name='MTEB BIOSSES', metric_type='manhattan_spearman', metric_value=81.87957652506985, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='d3fb88f8f02e40887cd149695127462bbcf29b4a', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Classification', dataset_type='mteb/banking77', dataset_name='MTEB Banking77Classification', metric_type='accuracy', metric_value=88.00000000000001, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='0fd18e25b25c072e09e0d92ab615fda904d66300', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Classification', dataset_type='mteb/banking77', dataset_name='MTEB Banking77Classification', metric_type='f1', metric_value=87.99039027511853, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='0fd18e25b25c072e09e0d92ab615fda904d66300', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Clustering', dataset_type='mteb/biorxiv-clustering-p2p', dataset_name='MTEB BiorxivClusteringP2P', metric_type='v_measure', metric_value=41.36932844640705, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='65b79d1d13f80053f67aca9498d9402c2d9f1f40', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Clustering', dataset_type='mteb/biorxiv-clustering-s2s', dataset_name='MTEB BiorxivClusteringS2S', metric_type='v_measure', metric_value=38.34983239611985, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='258694dd0231531bc1fd9de6ceb52a0853c6d908', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='map_at_1', metric_value=32.257999999999996, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='map_at_10', metric_value=42.937, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='map_at_100', metric_value=44.406, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='map_at_1000', metric_value=44.536, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source