Owner,Model Name,dataset,metrics,evaluation_result,library_name,Dataset,Link_ava
_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='map_at_3', metric_value=39.22, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='map_at_5', metric_value=41.458, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='mrr_at_1', metric_value=38.769999999999996, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='mrr_at_10', metric_value=48.701, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='mrr_at_100', metric_value=49.431000000000004, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='mrr_at_1000', metric_value=49.476, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='mrr_at_3', metric_value=45.875, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='mrr_at_5', metric_value=47.67, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='ndcg_at_1', metric_value=38.769999999999996, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='ndcg_at_10', metric_value=49.35, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='ndcg_at_100', metric_value=54.618, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='ndcg_at_1000', metric_value=56.655, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='ndcg_at_3', metric_value=43.826, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='ndcg_at_5', metric_value=46.72, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='precision_at_1', metric_value=38.769999999999996, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='precision_at_10', metric_value=9.328, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='precision_at_100', metric_value=1.484, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='precision_at_1000', metric_value=0.196, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='precision_at_3', metric_value=20.649, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='precision_at_5', metric_value=15.25, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='recall_at_1', metric_value=32.257999999999996, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='recall_at_10', metric_value=61.849, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='recall_at_100', metric_value=83.70400000000001, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='recall_at_1000', metric_value=96.344, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='recall_at_3', metric_value=46.037, task_name=None, dataset_config='default', dataset_split='test', dataset_revision='None', dataset_args=None, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None), EvalResult(task_type='Retrieval', dataset_type='BeIR/cqadupstack', dataset_name='MTEB CQADupstackAndroidRetrieval', metric_type='recall",transformers,Yes,Yes
rein5,rein5/bert-base-uncased-finetuned-spoken-squad,non,['squad'],,transformers,Yes,Yes
rellanchayan,rellanchayan/specializedEmbeddingModel,non,,,sentence-transformers,No,No
RESMPDEV,RESMPDEV/Gemma-Wukong-2b,non,,,transformers,Yes,No
Revankumar,Revankumar/fine_tuned_embeddings_for_healthy_recipes,non,,,sentence-transformers,No,No
Rifky,Rifky/test_trainer,non,['accuracy'],[],transformers,No,No
RifsxD,RifsxD/DialoGPT-medium-raifu,non,,,transformers,No,No
rishiraj,rishiraj/CatPPT-base,non,,,transformers,No,No
Ritik009999,Ritik009999/solver7b,non,,,transformers,No,No
RLHFsamurai,RLHFsamurai/test_nedo_20240309_openassistant,non,,,transformers,No,No
rohitdiwane,rohitdiwane/distilbert-base-uncased-finetuned-imdb,non,,[],transformers,No,No
rrw-x2,rrw-x2/KoSOLAR-10.9B-v0.5,non,,,transformers,No,No
Rushikesh,Rushikesh/sirio-first-model,non,,,transformers,No,No
s-man2099,s-man2099/fb-bart-large-cnn-3k,non,,[],transformers,No,No
sahil2801,sahil2801/instruct-codegen-16B,non,['code_eval'],"[EvalResult(task_type='code-generation', dataset_type='openai_humaneval', dataset_name='HumanEval', metric_type='pass@1', metric_value=0.371, task_name=None, dataset_config=None, dataset_split=None, dataset_revision=None, dataset_args=None, metric_name='pass@1', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name=None, source_url=None)]",transformers,No,No
saicharan8,saicharan8/telugu-summarization-umt5-small,non,,[],transformers,Yes,No
sakib131,sakib131/bangla-conv-summarizer-model,non,,[],transformers,No,No
Salesforce,Salesforce/codegen2-16B,non,,,transformers,Yes,Yes
Salexoid,Salexoid/mistral-7b-saiga-sum-v0.1,non,,,transformers,No,No
samal-santosh,samal-santosh/santu-finetuned,non,,[],transformers,No,No
samsonluo,samsonluo/hello-finetune-gpt,non,,,transformers,No,No
santiadavani,santiadavani/53,non,,[],transformers,No,No
Sao10K,Sao10K/R17AST-Mistral-7B,non,,,transformers,No,No
Sarthak279,Sarthak279/Conversation-Summarizer,non,,,transformers,No,No
satendra4u2022,satendra4u2022/NeuralHermes-2.5-Mistral-7B,non,,,transformers,No,No
saudi82s,saudi82s/test,non,,,transformers,No,No
savasy,savasy/bert-base-turkish-sentiment-cased,non,,,transformers,Yes,No
sayanbhatia,sayanbhatia/git-sketch,non,,,transformers,No,No
selfrag,selfrag/selfrag_llama2_13b,non,,,transformers,Yes,Yes
sethuiyer,sethuiyer/Diana-7B,non,,"[EvalResult(task_type='text-generation', dataset_type='ai2_arc', dataset_name='AI2 Reasoning Challenge (25-Shot)', metric_type='acc_norm', metric_value=68.34, task_name='Text Generation', dataset_config='ARC-Challenge', dataset_split='test', dataset_revision=None, dataset_args={'num_few_shot': 25}, metric_name='normalized accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=sethuiyer/Diana-7B'), EvalResult(task_type='text-generation', dataset_type='hellaswag', dataset_name='HellaSwag (10-Shot)', metric_type='acc_norm', metric_value=86.73, task_name='Text Generation', dataset_config=None, dataset_split='validation', dataset_revision=None, dataset_args={'num_few_shot': 10}, metric_name='normalized accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=sethuiyer/Diana-7B'), EvalResult(task_type='text-generation', dataset_type='cais/mmlu', dataset_name='MMLU (5-Shot)', metric_type='acc', metric_value=64.58, task_name='Text Generation', dataset_config='all', dataset_split='test', dataset_revision=None, dataset_args={'num_few_shot': 5}, metric_name='accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=sethuiyer/Diana-7B'), EvalResult(task_type='text-generation', dataset_type='truthful_qa', dataset_name='TruthfulQA (0-shot)', metric_type='mc2', metric_value=60.55, task_name='Text Generation', dataset_config='multiple_choice', dataset_split='validation', dataset_revision=None, dataset_args={'num_few_shot': 0}, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=sethuiyer/Diana-7B'), EvalResult(task_type='text-generation', dataset_type='winogrande', dataset_name='Winogrande (5-shot)', metric_type='acc', metric_value=80.19, task_name='Text Generation', dataset_config='winogrande_xl', dataset_split='validation', dataset_revision=None, dataset_args={'num_few_shot': 5}, metric_name='accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=sethuiyer/Diana-7B'), EvalResult(task_type='text-generation', dataset_type='gsm8k', dataset_name='GSM8k (5-shot)', metric_type='acc', metric_value=63.23, task_name='Text Generation', dataset_config='main', dataset_split='test', dataset_revision=None, dataset_args={'num_few_shot': 5}, metric_name='accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=sethuiyer/Diana-7B')]",transformers,No,No
Setiaku,Setiaku/p2tr1-13b-l2-fp16,non,,,transformers,No,No
shanti10,shanti10/xlm-roberta-large-finetuned-ner,non,,[],transformers,No,No
Shawn156,Shawn156/bert-base-uncased-issue-128,non,,[],transformers,No,No
ShinjuM,ShinjuM/rut5-base-par-simp-aphasia,non,,,transformers,No,No
Shishir1807,Shishir1807/Drug_Ollama_67k,non,,,transformers,No,No
Shrimalip,Shrimalip/mbart-large-50-many-to-many-mmt-finetuned-hi-to-en,non,['bleu'],[],transformers,No,No
silvercoder45,silvercoder45/Mistral-7b-instruct-v0.2-summ-sft-e2m,non,,,transformers,No,No
SilverFan,SilverFan/Monarch-Kunoichi-7B,non,,,transformers,No,No
simonschoe,simonschoe/TransformationTransformer,non,,,transformers,Yes,No
soltaniali,soltaniali/roberta-fa-zwnj-base_v1,non,"['accuracy', 'f1', 'precision']",[],transformers,No,No
songdemin,songdemin/codellama_with_comments,non,,,transformers,No,No
SRDdev,SRDdev/MarathiSampark,non,['bleu'],[],transformers,No,No
Stevross,Stevross/Astrid-7B-Assistant-CPU,non,,,transformers,No,No
sujayC66,sujayC66/text_summarization-finetuned-stocknews,non,['rouge'],[],transformers,No,No
summer11111,summer11111/CODEsummer,non,,,transformers,No,No
SUSTech,SUSTech/SUS-Chat-72B,non,,,transformers,No,No
SuvajitGB,SuvajitGB/NeuralPipe-7B-slerp,non,,,transformers,No,No
Swarnava,Swarnava/T5_small_title,non,['rouge'],[],transformers,No,No
sxx123,sxx123/gpt2-medium,non,,,transformers,Yes,Yes
systemk,systemk/dsir-wiki-ja-5k,non,,,transformers,No,No
taodaotada,taodaotada/tadam1,non,,,transformers,No,No
teilomillet,teilomillet/MiniMerlin-3B,non,,,transformers,Yes,No
TerryHenrickson,TerryHenrickson/t5-small-finetuned-xsum,non,['rouge'],[],transformers,No,No
test3333333,test3333333/flan-t5-small-en-simplif,non,"['rouge', 'bleu']",[],transformers,No,No
tfg-rca,tfg-rca/ciber-responder,non,,,transformers,No,No
TheBlokeAI,TheBlokeAI/JackFram-Llama-68M,non,,,transformers,No,No
theNovaAI,theNovaAI/Supernova-experimental,non,,"[EvalResult(task_type='text-generation', dataset_type='ai2_arc', dataset_name='AI2 Reasoning Challenge (25-Shot)', metric_type='acc_norm', metric_value=63.05, task_name='Text Generation', dataset_config='ARC-Challenge', dataset_split='test', dataset_revision=None, dataset_args={'num_few_shot': 25}, metric_name='normalized accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=theNovaAI/Supernova-experimental'), EvalResult(task_type='text-generation', dataset_type='hellaswag', dataset_name='HellaSwag (10-Shot)', metric_type='acc_norm', metric_value=83.66, task_name='Text Generation', dataset_config=None, dataset_split='validation', dataset_revision=None, dataset_args={'num_few_shot': 10}, metric_name='normalized accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=theNovaAI/Supernova-experimental'), EvalResult(task_type='text-generation', dataset_type='cais/mmlu', dataset_name='MMLU (5-Shot)', metric_type='acc', metric_value=56.59, task_name='Text Generation', dataset_config='all', dataset_split='test', dataset_revision=None, dataset_args={'num_few_shot': 5}, metric_name='accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=theNovaAI/Supernova-experimental'), EvalResult(task_type='text-generation', dataset_type='truthful_qa', dataset_name='TruthfulQA (0-shot)', metric_type='mc2', metric_value=49.37, task_name='Text Generation', dataset_config='multiple_choice', dataset_split='validation', dataset_revision=None, dataset_args={'num_few_shot': 0}, metric_name=None, metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=theNovaAI/Supernova-experimental'), EvalResult(task_type='text-generation', dataset_type='winogrande', dataset_name='Winogrande (5-shot)', metric_type='acc', metric_value=77.35, task_name='Text Generation', dataset_config='winogrande_xl', dataset_split='validation', dataset_revision=None, dataset_args={'num_few_shot': 5}, metric_name='accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=theNovaAI/Supernova-experimental'), EvalResult(task_type='text-generation', dataset_type='gsm8k', dataset_name='GSM8k (5-shot)', metric_type='acc', metric_value=28.73, task_name='Text Generation', dataset_config='main', dataset_split='test', dataset_revision=None, dataset_args={'num_few_shot': 5}, metric_name='accuracy', metric_config=None, metric_args=None, verified=False, verify_token=None, source_name='Open LLM Leaderboard', source_url='https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard?query=theNovaAI/Supernova-experimental')]",transformers,No,No
tjake,tjake/llama2-7b-hf-jlama-Q4_0,non,,,transformers,No,No
tomaszki,tomaszki/phi-metamath,non,,[],transformers,Yes,No
tomrb,tomrb/bettercallbloom-3b,non,,,transformers,No,No
tqoyiwcvwkephzdgsp,tqoyiwcvwkephzdgsp/distilbert-base-uncased-finetuned-ner,non,"['precision', 'recall', 'f1', 'accuracy']",[],transformers,No,No
travelgate,travelgate/feature-predicted-en,non,,,transformers,No,No
tschlunk,tschlunk/bert-finetuned-squad,non,,[],transformers,No,No
tslan,tslan/distilbert-base-uncased-finetuned-imdb,non,,[],transformers,No,No
tuanHenry,tuanHenry/distilbert_base_uncased_Movies_genre_predict,non,"['accuracy', 'f1']",[],transformers,No,No
tym24,tym24/mt5-summarize-ja,non,['rouge'],[],transformers,No,No
typosonlr,typosonlr/llama-2-7b-chat-MEDMATCH_2,non,,,transformers,No,No
tyson0420,tyson0420/stack-llama-2,non,,,transformers,No,No
udxyz,udxyz/HarryPotterBot,non,,,transformers,No,No
UNIST-Eunchan,UNIST-Eunchan/NLP-Paper-to-QA-Generation,non,,[],transformers,No,No
unkownFm,unkownFm/nlp-6-fine-tuned,non,,[],transformers,No,No
UsernameNLP,UsernameNLP/calculator_model_test,non,,[],transformers,No,No
utrobinmv,utrobinmv/t5_summary_en_ru_zh_base_2048,non,,,transformers,No,No
victoriadimelis,victoriadimelis/cs224nfinal-finetuneopt-125m,non,,[],transformers,No,No
vn24,vn24/layoutlm-funsd,non,,[],transformers,No,No
VRT-2428211,VRT-2428211/NLP2_Base_3e-5,non,,[],transformers,No,No
weihlai,weihlai/distilbert-base-uncased-finetuned-squad,non,,[],transformers,No,No
WhiteRabbitNeo,WhiteRabbitNeo/Trinity-33B-v1.0,non,,,transformers,No,No
WintWealth,WintWealth/OpenHermes_ApricotTangerineScallop_HF_8_GPTQ,non,,,transformers,No,No
wxrrrrrrr,wxrrrrrrr/model_test,non,,,transformers,No,No
xuerongkun,xuerongkun/distilbert-base-uncased_emotion_ft_12_17,non,"['accuracy', 'f1', 'precision', 'recall']",[],transformers,No,No
xwar,xwar/2023-11-19_ninox_training-0,non,,,transformers,Yes,No
xy21593,xy21593/NeuralHermes-2.5-Mistral-7B,non,,,transformers,No,No
xz97,xz97/AlpaCare-llama-13b,non,,,transformers,No,No
y-oguchi,y-oguchi/distilbert-base-uncased-finetuned-imdb,non,,[],transformers,No,No
yairschiff,yairschiff/bimamba-template,non,,,transformers,No,No
Yashaswi0506,Yashaswi0506/distilbert-base-uncased-finetuned-squad,non,,[],transformers,No,No
yegokpinar,yegokpinar/deneme_model_tr,non,,[],transformers,No,No
yemen2016,yemen2016/MeMo_BERT-SA_1,non,,[],transformers,No,No
yeye776,yeye776/OndeviceAI-T5-small,non,,[],transformers,Yes,No
yiyanghkust,yiyanghkust/finbert-tone-chinese,non,,,transformers,No,No
zake7749,zake7749/chinese-lyrics-generation-mass,non,,,transformers,No,No
zcbb,zcbb/hello-huggingface,non,,[],transformers,No,No
zjufuturefly,zjufuturefly/vicuna-7b,non,,,transformers,No,No
zzz99,zzz99/output-7b-26k-lora-test-afternoon,non,,,transformers,No,No